naic_product,sic_industry,sic_product,sic_title
NA,NA,22982A,Manmade fiber cordage and twine
NA,NA,2298207,"Fish line, fish net, and fish netting (made in this establishment)"
NA,NA,22982071,Fish line
NA,NA,2298208,Rope
NA,NA,2298213,"All other manmade fiber cordage and twine, incl. agriculture and industrial"
3149915,NA,22983,Cotton cordage and twine
NA,NA,2298311,Braided cord
NA,NA,2298325,"Wrapping, seine, and other twine"
314991SM,NA,2298SM,Secondary products and miscellaneous receipts
314991M,NA,2298M,Miscellaneous receipts
314991S,NA,2298S,Secondary products
NA,2299,2299,All other miscellaneous textile product mills
NA,NA,2299P,Primary products
3132305,NA,22991,"Pressed, punched, or needled felts, except hats"
3149991,NA,22994,"Recovered fibers, processed mill waste and related products"
3149993,NA,22997,"Paddings and upholstery filling, batting, and wadding, exc. foam rubber/plastics"
NA,NA,22999,Jute goods and scouring and combing mill products
NA,NA,2299M,Miscellaneous receipts
NA,NA,2299S,Secondary Products
315222,2311,2311,Men's and boys' suits and coats
315222P,NA,2311P,Primary products
3152221,NA,23115,"Men's and boys' suits, including uniform"
3152223,NA,23116,"Men's and boys' overcoats, topcoats, and tailored car and suburban coats"
3152225,NA,23117,Men's and boys' tailored dress and sport coats and tailored vests
NA,NA,23119,Receipts for contract and commission work on men's and boys' suits and coats
315222SM,NA,2311SM,Secondary products and miscellaneous receipts
315222M,NA,2311M,Miscellaneous receipts
315222S,NA,2311S,Secondary products
315223,2321,2321,"Men's and boys' shirts, except work shirts"
315223P,NA,2321P,Primary products
3152231,NA,23212,Men's and boys' knit shirts (made from purchased knit fabrics)
3152233,NA,23214,"Men's and boys' woven dress and sport shirts, including uniform shirts"
NA,NA,23219,Contract and commission work on men's and boys' shirts
315223SM,NA,2321SM,Secondary products and miscellaneous receipts
315223M,NA,2321M,Miscellaneous receipts
NA,NA,2321Z89,Contract work and other miscellaneous receipts
315223S,NA,2321S,Secondary products
NA,NA,2321SS,Secondary products
NA,2322,2322,Men's and boys' underwear and nightwear
NA,NA,2322P,Primary products
NA,NA,2322A,Men's and boys' knit underwear
NA,NA,23221,"Knit undershirts, except thermal"
NA,NA,2322122,"Undershirts, except athletic type"
NA,NA,23222,Men's and boys' woven underwear
NA,NA,23224,"Knit shorts and briefs, except thermal"
NA,NA,2322SM,Secondary products and miscellaneous receipts
NA,NA,2322M,Miscellaneous receipts
NA,NA,2322XY9,Contract work and other miscellaneous receipts
NA,NA,2322S,Secondary products
315993,2323,2323,Men's and boys' neckwear
315993P,NA,2323P,Primary products
3159931,NA,23231,Men's and boys' neckwear
31599312,NA,232312,Men's and boys' neckties
315993121,NA,2323121,All silk
315993127,NA,2323127,All polyester
315993129,NA,2323129,"Other fabrics, including blends"
31599314,NA,232314,"Men's and boys' neckwear, nec, including mufflers and scarfs"
NA,NA,2323149,"Men's and boys' neckwear, nec, including mufflers and scarfs"
315993M,NA,2323M,Miscellaneous receipts
NA,NA,2323Y93,Contract work
NA,NA,2323Z89,Resales
315993S,NA,2323S,Secondary products
315224,2325,2325,Men's and boys' separate trousers and slacks
315224P,NA,2325P,Primary products
3152241,NA,23251,"Men's and boys' separate dress and sport trousers, pants, and slacks"
3152243,NA,23252,Men's and boys' jeans (including dungarees and jean-cut casual slacks)
NA,NA,23259,Contract work on men's and boys' separate trousers and slacks
315224SM,NA,2325SM,Secondary products and miscellaneous receipts
315224M,NA,2325M,Miscellaneous receipts
315224S,NA,2325S,Secondary products
NA,NA,2325SS,Secondary products
315225,2326,2326,Men's and boys' work clothing
315225P,NA,2326P,Primary products
3152251,NA,23261,Men's and boys' work shirts
3152253,NA,23262,Men's and boys' work clothing and washable service apparel (excluding work shirt
NA,NA,23269,Contract work on men's and boys' work clothing
315225SM,NA,2326SM,Secondary products and miscellaneous receipts
315225M,NA,2326M,Miscellaneous receipts
315225S,NA,2326S,Secondary products
NA,NA,2326SS,Secondary products
315228,2329,2329,"Men's and boys' clothing, nec"
315228P,NA,2329P,Primary products
3152281,NA,23291,"Men's and boys' nontailored heavy jackets and coats, including uniform, excluding ski jackets"
3152283,NA,23292,"Men's and boys' swimwear, sweaters, and outerwear, nec"
3152283011,NA,232922,Swimwear and athletic shorts
3152283111,NA,232928,"Outerwear, nec (ski and snow pants, leggings, light outerwear jackets, etc.)"
NA,NA,23299,"Contract work on men's and boys' clothing, nec"
315228SM,NA,2329SM,Secondary products and miscellaneous receipts
315228M,NA,2329M,Miscellaneous receipts
315228S,NA,2329S,Secondary products
NA,NA,2329SS,Secondary products
315232,2331,2331,"Women's, misses', & juniors' blouses & shirts"
315232P,NA,2331P,Primary products
3152321,NA,23313,Knit shirts and blouses made from purchased fabric
NA,NA,2331321,T-shirts and tank tops
NA,NA,2331351,All other
3152323,NA,23314,Woven shirts and blouses
NA,NA,23319,"Contract work on women's, misses', and juniors' blouses & shirts"
315232SM,NA,2331SM,Secondary products and miscellaneous receipts
315232M,NA,2331M,Miscellaneous receipts
NA,NA,2331XY9,Other miscellaneous receipts
315232S,NA,2331S,Secondary products
NA,NA,2331SS,Secondary products
315233,2335,2335,"Women's, misses', and juniors' dresses"
315233P,NA,2335P,Primary products
3152331111,NA,23353,Dresses made from purchased fabric
NA,NA,23359,Contract work on women's and misses' dresses
315233SM,NA,2335SM,Secondary products and miscellaneous receipts
315233M,NA,2335M,Miscellaneous receipts
315233S,NA,2335S,Secondary products
NA,NA,2335SS,Secondary products
315234,2337,2337,"Women's, misses', and juniors' suits and coats"
315234P,NA,2337P,Primary products
3152341,NA,23371,Coats and capes
3152343,NA,23372,Suits and pantsuits
3152345,NA,23374,"Jackets, vests and skirts"
3152345010,NA,2337411,"Skirts, including uniform"
3152345120,NA,2337421,Jackets and vests
NA,NA,23379,"Contract work on women's, misses' and juniors' suits and coats"
315234SM,NA,2337SM,Secondary products and miscellaneous receipts
315234M,NA,2337M,Miscellaneous receipts
NA,NA,2337Z89,Resales
315234S,NA,2337S,Secondary products
315239,2339,2339,"Women's, misses', and juniors' outerwear, nec"
315239P,NA,2339P,Primary products
NA,NA,23392,Washable service apparel
3152393,NA,23394,Bathing suits
3152395,NA,23395,Slacks
3152397,NA,23397,"Other outerwear, nec"
31523970,NA,2339761,"Play garments, including shorts, pedal pushers, Bermudas, and Jamaicas"
31523971,NA,2339781,"All other women's, misses', and juniors' outerwear, nec"
NA,NA,23399,"Contract and commission work on women's, misses', and juniors' outerwear, nec"
315239SM,NA,2339SM,Secondary products and miscellaneous receipts
315239M,NA,2339M,Miscellaneous receipts
NA,NA,2339Z89,Resales
315239S,NA,2339S,Secondary products
NA,2341,2341,Women's and children's underwear and nightwear
NA,NA,2341P,Primary products
NA,NA,2341A,"Women's and children's underwear and nightwear, excluding contract work"
NA,NA,23412,Underwear
NA,NA,234121,Women's underwear
NA,NA,2341211,"Slips, half slips, and petticoats"
NA,NA,23412113,Chiefly synthetic fibers
NA,NA,2341213,Panties
NA,NA,2341214,Other women's underwear
NA,NA,234122,"Girls', children's and infants' underwear"
NA,NA,2341223,Panties
NA,NA,2341225,"Other girls', children's and infants' underwear"
NA,NA,23413,Nightwear
NA,NA,234131,Women's nightwear
NA,NA,2341315,Nightgowns
NA,NA,23413153,Chiefly synthetic fibers
NA,NA,2341316,Pajamas
NA,NA,23413163,Chiefly synthetic fibers
NA,NA,2341317,Other women's nightwear
NA,NA,234132,"Girls', children's and infants' nightwear"
NA,NA,2341325,Nightgowns
NA,NA,2341326,Pajamas
NA,NA,23419,Contract work on women's and children's underwear and nightwear
NA,NA,2341911,Contract work on women's and children's underwear and nightwear
NA,NA,2341S,Secondary products
NA,2342,2342,Brassieres and allied garments
NA,NA,2342P,Primary products
NA,NA,2342A,"Brassieres and allied garments, excluding contract work"
3152315,NA,23421,Brassieres
NA,NA,234214,Bandeau
NA,NA,2342141,Regular strap
NA,NA,2342142,Contour lined or padded strap
NA,NA,2342143,"Strapless, convertible or other bandeau bras"
NA,NA,234215,"Other bras, including long line"
3152317,NA,23422,"Girdles, corsets, combinations and accessories"
NA,NA,2342211,"Girdles, with or without openings"
NA,NA,2342241,"Corsets, combinations, and accessories"
NA,NA,23429,Contract work on brassieres and allied garments
NA,NA,2342911,Contract work on brassieres and allied garments
NA,NA,2342S,Secondary products
315991,2353,2353,"Hats, caps, and millinery"
315991P,NA,2353P,Primary products
3159911,NA,23531,Millinery
3159912,NA,23532,"Hat and hat bodies, except cloth and millinery"
3159913,NA,23533,Cloth hats and caps
315991SM,NA,2353SM,Secondary products and miscellaneous receipts
315991M,NA,2353M,Miscellaneous receipts
315991S,NA,2353S,Secondary products
NA,2361,2361,"Girls', children's, and infants' dresses, blouses, and shirts"
NA,NA,2361P,Primary products
NA,NA,23613,"Girls', children's, and infant's knit blouses and shirts"
NA,NA,23614,"Girl's, children's, and infant's woven blouses and shirts"
3152331221,NA,23615,"Girl's, children's, and infant's dresses"
NA,NA,23619,"Contract work on dresses, blouses & shirts"
NA,NA,2361S,Secondary products
NA,NA,2361SS,Secondary products
NA,2369,2369,"Girls', children's, & infants' outerwear, nec"
NA,NA,2369P,Primary products
NA,NA,23692,"Coats, snowsuits, coat-and-legging sets, suits, vests, & jackets"
NA,NA,23693,"Outerwear, nec, except contract work"
NA,NA,2369343,Play Garments
NA,NA,2369349,Other Outerwear
NA,NA,23699,"Contract work on children's outerwear, nec"
NA,NA,2369S,Secondary products
NA,NA,2361S,"Girls', children's, and infants' dresses, blouses, & shirts"
NA,NA,2369SSS,Other secondary products
NA,2371,2371,Fur goods
NA,NA,2371P,Primary products
3152921,NA,23711,"Fur coats, capes, jackets, neck pieces, fur linings, and all other fur garments"
NA,2381,2381,Fabric dress and work gloves
NA,NA,2381P,Primary products
NA,NA,23812,Work gloves and mittens
NA,NA,2381211,All fabric
NA,NA,238121122,Single canton flannel
NA,NA,238121124,Double canton flannel
NA,NA,238121132,Fleeced cotton jersey
NA,NA,238121134,Circular knit cotton
NA,NA,238121138,Coated and partially coated fabric
NA,NA,238121147,Other fabric
3159923,NA,2381251,Leather or plastic and fabric combinations
NA,NA,2381M,Miscellaneous receipts
NA,NA,2381Z89,Resales
NA,NA,2381S,Secondary products
NA,2384,2384,"Robes and dressing gowns, except children's"
NA,NA,2384P,Primary products
NA,NA,23841,Men's and boys' robes and dressing gowns
NA,NA,23842,"Women's, misses', and juniors' robes and dressing gowns"
NA,NA,2384211,"Women's, misses', and juniors' robes and dressing gowns"
NA,NA,2384M,Miscellaneous receipts
NA,NA,2384MM,Miscellaneous receipts
NA,NA,2384S,Secondary products
NA,NA,2384SS,Secondary products
NA,2385,2385,Waterproof outer garments
NA,NA,2385P,Primary products
NA,NA,23851,Raincoats and other waterproof outergarments
NA,NA,2385M,Miscellaneous receipts
NA,NA,2385XY9,Contract work and other miscellaneous receipts
NA,NA,2385Z89,Resales
NA,NA,2385S,Secondary products
NA,NA,2385SS,Secondary products
NA,2386,2386,Leather and sheep lined clothing
NA,NA,2386P,Primary products
3152925,NA,23861,Leather and sheep lined clothing
NA,NA,2386115,Men's and boys leather coats and jackets
NA,NA,2386199,"All other leather clothing and sheep lined clothing, including children's"
NA,NA,2386M,Miscellaneous receipts
NA,NA,2386S,Secondary products
NA,2387,2387,Apparel belts
NA,NA,2387P,Primary products
3159995,NA,23871,Leather belts
3159997,NA,23872,Belts other than leather
NA,NA,2387M,Miscellaneous receipts
NA,NA,2387S,Secondary products
NA,NA,2387SS,Secondary products
NA,2389,2389,"Apparel and accessories, nec"
NA,NA,2389P,Primary products
NA,NA,23891,"Apparel and accessories, nec"
NA,NA,2389181,Burial garments
NA,NA,2389191,"Academic caps and gowns and costumes, including theatrical"
NA,NA,2389198,"Ecclesiastical vestments, special garments for fraternal orders, except tailored clothing"
NA,NA,2389M,Miscellaneous receipts
NA,NA,2389S,Secondary products
NA,NA,2389SS,Secondary products
314121,2391,2391,Curtains and draperies
314121P,NA,2391P,Primary products
NA,NA,239111,"Curtains and draperies, woven"
3141211261,NA,2391111,"Curtains, except lace"
NA,NA,239111112,Wholly or chiefly cotton fabrics
NA,NA,239111114,All other materials
3141211399,NA,2391121,Draperies
NA,NA,239112111,Wholly or chiefly cotton fabrics
NA,NA,239112112,Rayon and/or acetate fabrics
NA,NA,239112113,All other materials
3141211111,NA,239113,"Curtains and draperies, knit"
314121SM,NA,2391SM,Secondary products and miscellaneous receipts
314121M,NA,2391M,Miscellaneous receipts
NA,NA,2391XY9,Contract work and other miscellaneous receipts
NA,NA,2391Z89,Resales
314121S,NA,2391S,Secondary products
314129,2392,2392,"House furnishings, nec"
314129P,NA,2392P,Primary products
3141291,NA,2392A,Bedspreads and bedsets
3141293,NA,23922,Sheets and pillowcases
3141295,NA,23923,Towels and washcloths
3141297,NA,23924,Other house furnishings
31412972,NA,2392423,"Quilted products, including comforters, quilts, mattress protectors and other qu"
31412971,NA,2392424,"Other household furnishings (including shower bath curtains, table linen, slipco"
31412973,NA,2392451,"Bed pillows, fancy pillows and cushions"
NA,NA,2392477,"Mops and dusters (including dry mops and dusters, wet mops and sponge mops)"
314129SM,NA,2392SM,Secondary products and miscellaneous receipts
314129M,NA,2392M,Miscellaneous receipts
NA,NA,2392XY9,Contract work and other miscellaneous receipts
NA,NA,2392Z89,Resales
314129S,NA,2392S,Secondary products
NA,NA,2392SS,Secondary products
314911,2393,2393,Textile bags
314911P,NA,2393P,Primary products
31491101,NA,2393A,"Duffle bags and knapsacks, all material"
31491102,NA,23932,All other textile bags
314911SM,NA,2393SM,Secondary products and miscellaneous receipts
314911M,NA,2393M,Miscellaneous receipts
314911S,NA,2393S,Secondary products
NA,NA,2393SS,Secondary Products
314912,2394,2394,Canvas and related products
314912P,NA,2394P,Primary products
3149121,NA,23941,Canvas and related products
314912SM,NA,2394SM,Secondary products and miscellaneous receipts
314912M,NA,2394M,Miscellaneous receipts
314912S,NA,2394S,Secondary products
NA,NA,2394SS,Secondary products
NA,2395,2395,Pleating and stitching
NA,NA,2395P,Primary products
3149995,NA,23951,Embroideries (except Schiffli machine products)
NA,NA,23959,Receipts for commission work on materials owned by others
NA,NA,2395M,Miscellaneous receipts
NA,NA,2395MM,Miscellaneous receipts
NA,NA,2395S,Secondary products
NA,NA,2395SS,Secondary products
NA,2396,2396,"Automotive trimmings, apparel findings, and related products"
NA,NA,2396P,Primary products
NA,NA,23961,"Men's and boys' suit and coat findings, and hat and cap trimmings"
NA,NA,23962,Automotive trimmings
NA,NA,23963,Other trimmings and findings
3231133,NA,23964,"Printing and stamping on apparel, apparel accessories, and art goods"
NA,NA,2396M,Miscellaneous receipts
NA,NA,2396S,Secondary products
NA,NA,2396SS,Secondary Products
313222,2397,2397,Schiffli machine embroideries
313222P,NA,2397P,Primary products
3132221,NA,23971,Schiffli machine embroideries
313222SM,NA,2397SM,Secondary products and miscellaneous receipts
313222M,NA,2397M,Miscellaneous receipts
NA,NA,2397MM,Miscellaneous receipts
313222S,NA,2397S,Secondary products
NA,NA,2397SS,Secondary products
NA,2399,2399,"Fabricated textile products, nec"
NA,NA,2399P,Primary products
NA,NA,23991,"Fabricated textile products, nec"
NA,NA,2399M,Miscellaneous receipts
NA,NA,2399S,Secondary products
NA,NA,2399SS,Secondary products
113310,2411,2411,Logging camps and logging contractors
113310P,NA,2411P,Primary products
1133101,NA,24111,"Softwood logs, bolts, and timber"
NA,NA,2411117,Douglas fir
NA,NA,241111744,Sawlogs and bolts
NA,NA,241111766,Veneer logs and bolts
NA,NA,241113,"Softwood, except Douglas fir"
NA,NA,2411131,Southern yellow pine
NA,NA,2411132,Ponderosa pine
NA,NA,2411133,Spruce
NA,NA,2411135,Hemlock
NA,NA,2411136,Western red cedar
NA,NA,2411139,"Other softwood log species, nec"
1133103,NA,24112,"Hardwood logs, bolts, and timber"
NA,NA,2411217,Oak
NA,NA,2411221,"Other hardwood log species, nec"
1133105,NA,24113,Pulpwood
NA,NA,241131115,Softwood
NA,NA,241132227,Hardwood
1133107,NA,24114,Other products
NA,NA,2411413,"Wood poles, piles, and posts"
NA,NA,2411416,Wood chips produced in the field
NA,NA,2411429,"Other products, including fuelwood & timber"
1133109,NA,24119,Contract logging
NA,NA,2411911,Contract logging
113310SM,NA,2411SM,Secondary products and miscellaneous receipts
113310M,NA,2411M,Miscellaneous receipts
NA,NA,2411XY9,Contract work and other miscellaneous receipts
NA,NA,2411Z89,Resales
113310S,NA,2411S,Secondary products
NA,NA,2421S,Sawmills and planing mills
321113,2421,2421,Sawmills and planing mills
NA,NA,2421P,Primary products
NA,NA,24211,"Hardwood lumber, rough and dressed, except siding"
NA,NA,242112,Hardwood rough lumber
NA,NA,2421121,Oak
NA,NA,242112111,"Red, no. 1 common"
NA,NA,242112112,White
NA,NA,242112119,Other Red Oak
NA,NA,2421122,Poplar
NA,NA,2421124,"Maple, gum, & ash rough"
NA,NA,2421125,Other hardwoods rough
NA,NA,242113,"Hardwood, dressed lumber, including ceiling, framing, and matched and shiplapped lumber"
NA,NA,2421131,Oak
NA,NA,2421139,Other hardwood species
NA,NA,24212,"Softwood lumber, rough and dressed, except siding"
NA,NA,24213,"Softwood lumber, rough and dressed, Eastern species, except siding"
NA,NA,242131,"Rough softwood lumber, Eastern species"
NA,NA,2421311,Boards - lumber less than 2 inches in nominal thickness
NA,NA,2421312,Light framing lumber 2 inch nominal thickness only
NA,NA,2421313,Lumber and timbers over 2 inches in nominal thickness
NA,NA,242132,"Dressed softwood lumber, Eastern species"
NA,NA,2421321,Boards - lumber less than 2 inches in nominal thickness
NA,NA,24213211,Southern Pine
NA,NA,242132111,"Finish, c and better"
NA,NA,242132113,"Boards, no. 2"
NA,NA,242132119,Other Southern Pine Boards
NA,NA,24213212,Eastern White Pine
NA,NA,2421322,Light framing lumber 2 inch nominal thickness only
NA,NA,24213221,Southern Pine
NA,NA,242132211,"Dimension, no. 1"
NA,NA,242132212,Dimension no. 2
NA,NA,242132219,Other 2 inch Southern Pine lumber
NA,NA,2421323,"Lumber and timbers over 2 inch nominal thickness, Eastern species"
NA,NA,242132311,Southern Pine
NA,NA,24214,"Softwood lumber, rough and dressed, Western species"
NA,NA,242141,"Rough softwood lumber, Western species"
NA,NA,2421411,Boards - lumber less than 2 inches in nominal thickness
NA,NA,2421412,Light framing lumber 2 inch nominal thickness only
NA,NA,2421413,Lumber and timbers over 2 inches in nominal thickness
NA,NA,242142,"Dressed softwood lumber, Western species"
NA,NA,2421421,Boards-lumber less than 2 inch nominal thickness
NA,NA,24214211,Douglas Fir
NA,NA,242142119,Other boards
NA,NA,24214212,Ponderosa Pine
NA,NA,242142121,No. 3 boards
NA,NA,242142122,No. 4 boards
NA,NA,242142129,Other boards
NA,NA,24214216,Redwood and Western Red Cedar
NA,NA,24214219,"Other boards, Western dressed softwood"
NA,NA,2421422,Lumber of 2 inches nominal thickness only
NA,NA,24214221,Douglas Fir
NA,NA,242142213,Utility 2x4 green
NA,NA,242142214,Standard and better
NA,NA,242142219,Other 2 inch Douglas Fir lumber
NA,NA,24214222,Ponderosa Pine
NA,NA,24214224,White Fir
NA,NA,242142241,Standard and better
NA,NA,242142249,Other 2 inch White Fir lumber
NA,NA,24214225,Western Hemlock
NA,NA,242142251,"Dimension, std. and btr"
NA,NA,242142259,Other 2 inch Western Hemlock lumber
NA,NA,24214226,Redwood 2 inch lumber
NA,NA,24214228,"Lodgepole, Sugar, and Western (Idaho) White Pine 2 inch lumber"
NA,NA,24214229,Other Western softwood 2 inch lumber
NA,NA,2421423,"Lumber and timbers, over 2 inch nominal thickness"
NA,NA,24214231,Douglas Fir
NA,NA,24214239,Other Western softwood timbers
3211135,NA,24215,Wood chips
NA,NA,2421577,Short tons
NA,NA,2421578,Standard units
3219127,NA,24217,Softwood cut stock
NA,NA,2421711,Furniture cut stock
NA,NA,2421751,Other industrial cut stock
NA,NA,24218,"Softwood flooring, siding and other sawmill and planing mill products"
NA,NA,2421811,Softwood flooring
NA,NA,2421813,Woodsiding
NA,NA,2421817,Railway crossties and mine ties
NA,NA,2421819,Other sawmill/planing mill products
NA,NA,24219,Contract/custom work
NA,NA,2421911,Contract or custom sawing of logs owned by others
NA,NA,2421951,"Contract drying, planing, resawing or other manufacturing of lumber owned by others"
NA,NA,2421SM,Secondary products and miscellaneous receipts
NA,NA,2421M,Miscellaneous receipts
NA,NA,2421Z89,Resales
NA,NA,2421S,Secondary products
113310S,NA,2411S,Logging camps/contractors
NA,NA,2421SSS,Other secondary products
NA,2426,2426,Hardwood dimension and flooring
NA,NA,2426P,Primary products
3219187,NA,24261,Hardwood flooring
NA,NA,242611,Oak
3219187111,NA,2426111,"Oak flooring (3/4"" 1/2"" 3/8, T, G, EM, 5/16"")"
NA,NA,2426119,"Other oak specialty, including plank, block"
NA,NA,2426131,"Maple flooring, including strip, block and parquetry"
NA,NA,2426141,Glued laminated truck trailer flooring and railroad car decking
NA,NA,2426198,Other hardwood flooring
3219125,NA,24262,Hardwood dimension stock for furniture and industrial uses
NA,NA,242622,Furniture dimension stock
NA,NA,2426223,Rough
NA,NA,2426227,Semifabricated
NA,NA,2426229,"Completely fabricated ready for assembly, incl furniture parts, ex frames for household furn"
NA,NA,2426284,Rough & semi-fabricated dimension stock
NA,NA,24266,Wood frames for household furniture
NA,NA,2426611,For seating
NA,NA,2426613,Other use
NA,NA,2426M,Miscellaneous receipts
NA,NA,2426Z89,Resales
NA,NA,2426S,Secondary products
NA,NA,2426SS,Secondary products
NA,2429,2429,"Special product sawmills, nec"
NA,NA,2429P,Primary products
NA,NA,24291,"Shingles, shakes, cooperage stock and excelsior"
NA,NA,2429111,Red cedar shingles and shakes
NA,NA,242911101,"Shingles, including remanufactured shingles"
NA,NA,242911103,"Shakes (handsplit and resawn, taper and straight split)"
NA,NA,2429117,Slack & tight cooperage stock (staves & headings)
NA,NA,2429118,Excelsior (wood wool & other products)
NA,NA,2429M,Miscellaneous receipts
NA,NA,2429MM,Miscellaneous receipts
NA,NA,2429S,Secondary products
NA,2431,2431,Millwork
NA,NA,2431P,Primary products
3219111,NA,24311,Wood window units
NA,NA,2431133,Double hung
NA,NA,2431137,Casement
NA,NA,2431145,"All other, including single hung and skylights"
3219113,NA,24312,"Wood sash, incl. comb. screen and storm sash, and window screens, excl. window units"
3219115,NA,24313,Wood window and door frames and door frames shipped in door units
3219117,NA,24314,"Wood doors, int. and ext., incl. those with glazed sections and in door units"
NA,NA,243141,"Panel type, including french doors"
NA,NA,243143,"Flush type doors, hollow core"
NA,NA,243144,"Flush type doors, solid core"
3219119,NA,24315,"Other wood doors, incl. garage, screen, storm, combination, and louvre"
3219181,NA,24316,Wood moldings (standard) except prefinished moldings made from purchased moldings
3219183,NA,24317,Prefinished wood moldings made from purchased moldings
NA,NA,24318,Other millwork products including stairwork and exterior millwork
NA,NA,2431M,Miscellaneous receipts
NA,NA,2431XY9,Contract work and other miscellaneous receipts
NA,NA,2431Z89,Resales
NA,NA,2431S,Secondary products
NA,NA,2431SSS,Other secondary products
337110,2434,2434,Wood kitchen cabinets
NA,NA,2434P,Primary products
3371101,NA,24341,"Wood kitchen cabinets and cabinetwork, stock line"
3371104,NA,24342,"Wood kitchen cabinets and cabinetwork, custom"
3371107,NA,24343,Vanities and other cabinetwork
NA,NA,2434M,Miscellaneous receipts
NA,NA,2434XY9,Contract work and other miscellaneous receipts
NA,NA,2434Z89,Resales
NA,NA,2434S,Secondary products
NA,NA,2431S,Millwork
NA,NA,2434SSS,Other secondary products
321211,2435,2435,Hardwood veneer and plywood
321211P,NA,2435P,Primary products
3212113,NA,24351,Hardwood plywood
NA,NA,2435102,Veneer core-type II moisture resistant
NA,NA,2435104,Other veneer core (type I & III)
NA,NA,2435105,Board Core
3212115,NA,24352,Prefinished hardwood plywood made from purchased plywood
3212117,NA,24353,Hardwood plywood type products
NA,NA,2435331,Hardwood veneered panels
NA,NA,2435398,"Other hardwood plywood type products, including cellular panels, curved and mold"
NA,NA,24354,"Hardwood veneer, not reinforced or backed"
NA,NA,2435415,Birch
NA,NA,2435417,Maple
NA,NA,2435419,Oak
NA,NA,2435421,Walnut
NA,NA,2435429,Other hardwoods (domestic and imported)
321211SM,NA,2435SM,Secondary products and miscellaneous receipts
321211M,NA,2435M,Miscellaneous receipts
321211S,NA,2435S,Secondary products
321212,2436,2436,Softwood plywood
321212P,NA,2436P,Primary products
3212123,NA,24363,Specialty softwood plywood
3212129,NA,243631,"Other plywood specialties, including softwood plywood type products"
3212121,NA,24364,Softwood veneer
NA,NA,2436422,Softwood veneer
NA,NA,24365,Softwood plywood sheathing
NA,NA,243651,"Western, Inland & other Non-southern sheathing"
NA,NA,2436511,"Western, Inland & Non-southern interior sheathing"
NA,NA,243651121,"Western, Inland & Non-southern CDX, interior"
NA,NA,243651124,"Other Western, Inland, & Non-southern interior sheathing, including: structural"
NA,NA,2436512,"Western, Inland & Non-southern exterior sheathing"
NA,NA,243652,Southern sheathing
NA,NA,2436521,Southern interior sheathing
NA,NA,24365211,"Southern CDX, interior"
NA,NA,24365212,"Other Southern, interior"
NA,NA,2436522,Southern exterior sheathing
3212125,NA,24366,Sanded softwood plywood
NA,NA,243661,"Western, Inland & Non-southern sanded"
NA,NA,2436611,"Western, Inland & Non-southern sanded, exterior"
NA,NA,24366111,"Western, Inland & Non-southern A-C, exterior"
NA,NA,24366112,"Other Western, Inland & Non-southern exterior"
NA,NA,2436612,"Western, Inland & Non-southern sanded, interior"
NA,NA,243662,Southern sanded
NA,NA,2436622,"Southern sanded, exterior"
321212SM,NA,2436SM,Secondary products and miscellaneous receipts
321212M,NA,2436M,Miscellaneous receipts
NA,NA,2436Z89,Resales
321212S,NA,2436S,Secondary products
NA,NA,2421S,Sawmill & planing mills
NA,2439,2439,"Structural wood members, nec"
NA,NA,2439P,Primary products
NA,NA,24391,Fabricated structural wood products
NA,NA,2439131,Glued laminated lumber
NA,NA,2439151,Roof trusses
NA,NA,2439198,Other fabricated structural wood products
NA,NA,243919815,"Floor trusses, incl I-beam floor joists"
NA,NA,243919825,"Other fabricated structural wood products, except floor trusses"
NA,NA,2439SM,Secondary products and miscellaneous receipts
NA,NA,2439Z89,Resales
NA,NA,2439S,Secondary products
NA,NA,2439SS,Secondary products
NA,2441,2441,Nailed wood boxes and shook
NA,NA,2441P,Primary products
3219201,NA,24411,Nailed or lock-corner wooden boxes
NA,NA,2441151,Made from lumber for industrial and other uses
NA,NA,2441165,"Made from veneer and plywood for fruits, vegetables, and industrial and other uses"
3219203,NA,24412,Wooden box and crate shook
NA,NA,2441211,Made from lumber for fruits and vegetables
NA,NA,2441215,Made from lumber for industrial and other uses
NA,NA,2441S,Secondary products
NA,NA,2441SS,Secondary products
3219205,2448,2448,Wood pallets and skids
NA,NA,2448P,Primary products
NA,NA,2448162,"Pallets, wooden, flat"
NA,NA,2448164,"Pallet containers, including wood cargo containers"
NA,NA,2448165,Wooden skids
NA,NA,2448M,Miscellaneous receipts
NA,NA,2448S,Secondary products
NA,NA,2448SS,Secondary products
3219207,2449,2449,"Wood containers, nec"
NA,NA,2449P,Primary products
NA,NA,24491,"Wirebound boxes made from lumber, veneer, and plywood"
NA,NA,2449111,Made from lumber
NA,NA,2449112,Made from veneer and plywood
NA,NA,244911211,For fruits and vegetables
NA,NA,244911213,For industrial and other use
NA,NA,24493,"Veneer and plywood containers, except boxes and crates"
NA,NA,2449312,"Containers incl. pails, drums, tubs, fruit and vegetable baskets, and hampers, etc"
NA,NA,24495,Slack and tight cooperage
NA,NA,2449512,"Slack cooperage(hogsheads, barrels, & kegs, incl. recoopered used slack barrels and kegs)"
NA,NA,2449513,"Tight cooperage(hogsheads, barrels, & kegs for bourbon and other whiskey)"
NA,NA,2449S,Secondary products
NA,NA,2449SS,Secondary products
321991,2451,2451,Mobile homes
321991P,NA,2451P,Primary products
3219911,NA,24511,"Mobile homes, residential"
