sic_industry,sic_product,sic_title,naics_product
2741,27412,Business service publications,5111403
2741,27414,"Patterns, including clothing patterns",5111991
2741,27416,"Shopping news, publishing",5111993
2741,27417,Other miscellaneous publishing,NA
2741,2741797,"Micropublishing in microform, including original and republished material",NA
2741,2741799,"Other miscellaneous publishing nec, including multimedia kits, almanacs, and map",NA
2741,2741M,Miscellaneous receipts,NA
2741,2741S,Secondary products,NA
2752,2752,"Commercial printing, lithographic",323110
2752,2752P,Primary products,323110P
2752,27521,Magazine and periodical printing; lithographic,3231101
2752,27522,Label and wrapper printing; lithographic,3231103
2752,27523,Catalog and directory printing; lithographic,3231105
2752,27524,Financial and legal printing; lithographic,3231107
2752,27525,Advertising printing; lithographic,3231109
2752,2752513,"Direct mail advertising lith. printing; incl. circulars/letters/pamplets, etc",32311091
2752,2752529,Display and all other advertising printing; lithographic,32311092
2752,27526,Other general printing jobs; lithographic,NA
2752,2752661,Quick Printing,3231141
2752,2752663,All other general job printing; lithographic,323110B
2752,2752SM,Secondary products and miscellaneous receipts,323110SM
2752,2752M,Miscellaneous receipts,323110M
2752,2752S,Secondary products,323110S
2752,2752SS,Secondary products,NA
2754,2754,"Commercial printing, gravure",323111
NA,2754P,Primary products,323111P
NA,27541,"Magazine and periodical printing, gravure",3231111
NA,27542,"Label and wrapper printing, gravure",3231112
NA,27543,"Catalog and directory printing, gravure",3231113
NA,27545,"Advertising printing, gravure",3231115
NA,27546,"Other commercial printing, gravure",3231116
NA,2754SM,Secondary products and miscellaneous receipts,323111SM
NA,2754M,Miscellaneous receipts,323111M
NA,2754S,Secondary products,323111S
NA,2754SS,Secondary products,NA
2759,2759,"Commerical printing, nec",NA
2759,2759P,Primary products,NA
2759,2759D,Digital & other nonimpact printing (exc.quick printing); incl. laser/ink-jet,3231151
2759,2759E,Engraving,323119E
2759,2759F,Flexographic printing,NA
2759,2759F11,Label and wrapper printing; flexographic,3231121
2759,2759F31,All other flexographic printing; nec,3231123
2759,27592,Label and wrapper printing; letterpress,3231193
2759,27594,Financial and legal printing; letterpress,NA
2759,27595,Advertising printing; letterpress,3231199
2759,27596,Other general job printing; letterpress,323119B
2759,27597,"Screen process printing, except textiles",3231131
2759,2759731,Screen printed labels,3231131112
2759,2759733,Screen printed display advertising and advertising specials,3231131211
2759,2759735,Screen printed decalcomanias and pressure-sensitives incl. bumper stickers,3231131346
2759,2759737,All other screen printing; except on textiles,3231131411
2759,2759M,Miscellaneous receipts,NA
2759,2759S,Secondary products,NA
2759,2759SS,Secondary products,NA
2761,2761,Manifold business forms,NA
2761,2761P,Primary products,NA
2761,27612,"Unit set forms, loose or bound",3231161
2761,27613,Manifold books and pegboard accounting systems,3231163
2761,27615,Custom continuous business forms,3231165
2761,27617,Stock continuous business forms,3231167
2761,2761SM,Secondary products and miscellaneous receipts,NA
2761,2761M,Miscellaneous receipts,NA
2761,2761MM,Miscellaneous receipts,NA
2761,2761S,Secondary products,NA
2761,2761SS,Secondary products,NA
2771,2771,Greeting card publishing,511191
2771,2771P,Primary services,511191P
2771,27711,Publishers' sales,5111911
2771,2771132,"Seasonal cards including Christmas, Valentine, and Mother's Day cards: counter a",511191132
2771,2771134,"Everyday cards: counter cards and packaged, including boxed",511191134
2771,27712,"Greeting cards, printed for publication by others",5111912
2771,2771SM,Other receipts,511191SM
2771,2771S,Secondary services,NA
2771,2771SS,Secondary services,NA
2782,2782,Blankbooks and looseleaf binders,NA
2782,2782P,Primary products,NA
2782,27822,Looseleaf binders and devices,3231183
2782,27823,"Checkbooks, inserts and refills, excluding continuous forms and die cut",3231169
2782,27824,"Blankbook making, except checkbooks",3231181
2782,2782M,Miscellaneous receipts,NA
2782,2782MM,Miscellaneous receipts,NA
2782,2782S,Secondary products,NA
2782,2782SS,Secondary products,NA
2789,2789,Bookbinding and related work,323121
2789,2789P,Primary products,323121P
2789,27891,"Edition, library, trade and other hardcover binding",3231211
2789,278911,"Edition binding, hardbound",NA
2789,2789117,"Textbook, technical, scientific, and professional books",NA
2789,2789118,General consumer and trade books,NA
2789,2789119,"All other books nec., including reference and religious",NA
2789,278912,"Library binding; incl. prebinding, rebinding, and other hardcover binding of periodicals",NA
2789,27892,Other book and pamphlet binding and related work,3231213
2789,278922,Soft cover binding of books (49 pages or more),NA
2789,2789221,Adhesive binding,NA
2789,2789222,Mechanical binding,NA
2789,278923,Pamphlet and other soft cover binding,NA
2789,2789231,Adhesive binding,NA
2789,2789232,Mechanical binding,NA
NA,278924,"Sample books, swatches, and cards; color, carpet, upholstery, drapes, etc",NA
NA,278925,Miscellaneous bookbinding work and related service operations or material printed elsewhere,NA
NA,2789SM,Secondary products and miscellaneous receipts,323121SM
NA,2789M,Miscellaneous receipts,323121M
NA,2789S,Secondary products,323121S
2791,2791,Typesetting,NA
2791,2791P,Primary products,NA
2791,2791A,Typesetting,NA
2791,2791S,Secondary products,NA
2791,2791SS,Secondary products,NA
2796,2796,Platemaking services,NA
2796,2796P,Primary products,NA
2796,27961,"Lithographic plates, prepared for printing",NA
2796,27962,Lithographic platemaking services,NA
2796,279623,Color corrected positives or negatives on film,NA
2796,279624,All other lithographic platemaking services,NA
2796,27963,"Platemaking services, except lithographic",NA
2796,2796M,Miscellaneous receipts,NA
2796,2796S,Secondary products,NA
2812,2812,Alkalies and chlorine,325181
2812,2812P,Primary products,325181P
2812,28121,Chlorine,3251811
2812,28123,Sodium hydroxide (caustic soda),3251813
2812,28125,Other alkalies,3251815
2812,2812SM,Secondary products and miscellaneous receipts,325181SM
2812,2812M,Miscellaneous receipts,325181M
2812,2812S,Secondary products,325181S
2812,2812SS,Secondary products,NA
2813,2813,Industrial gases,NA
2813,2813P,Primary products,325120P
2813,28132,Acetylene,3251201
2813,28133,Carbon dioxide,3251204
2813,28135,Nitrogen,3251207
2813,28136,Oxygen,325120A
2813,28137,"Other industrial gases, nec",325120D
2813,2813M,Miscellaneous receipts,NA
2813,2813MM,Miscellaneous receipts,NA
2816,2816,Inorganic pigments,325131
2816,2816P,Primary products,325131P
2816,28161,Titanium dioxide,3251311
2816,28162,White opaque inorganic pigments,3251312
2816,28163,Chrome colors and other inorganic pigments,3251313
2816,2816311,Chrome colors,325131311
2816,2816331,Iron oxide pigments,325131331
2816,2816399,All other inorganic pigments nec,325131399
2816,2816SM,Secondary products and miscellaneous receipts,325131SM
2816,2816M,Miscellaneous receipts,325131M
2816,2816S,Secondary products,325131S
2816,2816SS,Secondary products,NA
2819,2819,"Industrial inorganic chemicals, nec",325188
2819,2819P,Primary products,325188P
2819,28193,Sulfuric acid (new and fortified),3251881
2819,28194,"Other inorganic acids (except sulfuric, nitric, and phosphoric)",3251884
2819,28195,"Aluminum oxide, except natural alumina",3313111
2819,28196,"Other aluminum compounds, nec",3251887
2819,28197,"Potassium and sodium compounds (except bleaches, alkalies and alums)",325188A
2819,28198,"Inorganic chemical catalytic preparations, nec",325188D
2819,28199,"Other industrial inorganic chemicals, nec",NA
2819,2819SM,Secondary products and miscellaneous receipts,325188SM
2819,2819M,Miscellaneous receipts,NA
2819,2819MM,Miscellaneous receipts,325188SS
2819,2819S,Secondary products,NA
2819,2819SS,Secondary products,NA
2821,2821,Plastic materials and resins,325211
2821,2821P,Primary products,325211P
2821,28213,Thermoplastic resins,3252111
2821,2821301,Acrylic resins,NA
2821,2821321,Polyester resins saturated,NA
2821,2821332,Polyethylene resins,NA
2821,2821351,Polypropylene resins,NA
2821,2821361,Styrene plastics materials,NA
2821,2821371,Vinyl and vinylidene resins,NA
2821,2821389,Other thermoplastic resins,NA
NA,28214,Thermosetting resins,3252114
NA,2821SM,Secondary products and miscellaneous receipts,325211SM
NA,2821M,Miscellaneous receipts,325211M
NA,2821S,Secondary products,325211S
NA,2821SS,Secondary products,NA
2822,2822,Synthetic rubber,325212
2822,2822P,Primary products,325212P
2822,28229,"Synthetic rubber, inc. SBR, ethylene propylene, & all other synthetic elastomers",3252129
2822,2822SM,Secondary products and miscellaneous receipts,325212SM
2822,2822M,Miscellaneous receipts,325212M
2822,2822S,Secondary products,325212S
2822,2822SS,Secondary products,NA
2823,2823,Cellulosic manmade fibers,325221
2823,2823P,Primary products,325221P
2823,28233,Rayon and acetate fibers,3252213
2823,2823SM,Secondary products and miscellaneous receipts,325221SM
2823,2823M,Miscellaneous receipts,325221M
2823,2823S,Secondary products,325221S
2824,2824,Noncellulosic manmade fibers,325222
2824,2824P,Primary products,325222P
2824,28241,Nylon and other polyamide fibers,3252221
2824,28243,Polyester,3252223
2824,2824311,"Yarn, except producer textured (industrial and textile)",325222311
2824,2824332,"Staple, tow and waste (fiberfill and other)",325222332
2824,28244,Polyolefin,3252224
2824,28245,"Other noncellulosic manmade fibers (except glass, carbon, and graphite)",3252225
2824,28246,Producer textured noncellulosic manmade fibers,3252226
2824,2824SM,Secondary products and miscellaneous receipts,325222SM
2824,2824M,Miscellaneous receipts,325222M
2824,2824S,Secondary products,325222S
2833,2833,Medicinal chemicals and botanical products (in bulk),325411
2833,2833P,Primary products,325411P
2833,28331,"Synthetic organic medicinal chemicals, in bulk",3254111
2833,28333,"Other medicinal chemicals and botanical products, in bulk, nec",3254113
2833,2833SM,Secondary products and miscellaneous receipts,325411SM
2833,2833M,Miscellaneous receipts,325411M
2833,2833S,Secondary products,325411S
2833,2833SSS,Secondary products,NA
2834,2834,Pharmaceutical preparations,325412
2834,2834P,Primary products,325412P
2834,2834A,"Neoplasms, endocrine system, and metabolic diseases",3254121
2834,2834A11,Cancer therapy products,3254121111
2834,2834A12,Insulin/anti-diabetes products,3254121112
2834,2834A13,"Other neoplasms, endocrine system, and metabolic diseases, including hormones",3254121113
2834,2834B,Central nervous system and sense organs,3254124
2834,2834B11,Analgesics,3254124111
2834,2834B1111,"Analgesics, prescription",32541241111
2834,2834B1112,"Analgesics, non-prescription",32541241112
2834,2834B12,Psychotherapeutics,3254124112
2834,2834B1211,Antidepressants,32541241121
2834,2834B1213,"Other psychotherapeutics, including tranquilizers",32541241123
2834,2834B13,Other central nervous system and sense organs,3254124113
2834,2834C,Cardiovascular system,3254127
2834,2834C11,Anticoagulants,3254127111
2834,2834C12,ACE Inhibitors,3254127112
2834,2834C13,Other cardiovascular preparations,3254127113
2834,28344,Respiratory system,325412A
2834,2834411,Bronchial therapy,325412A111
2834,2834412,Other respiratory preparations,325412A112
2834,283441211,"Other respiratory preparations, prescription",325412A1121
2834,283441212,"Other respiratory preparations, non-prescription",325412A1122
2834,28345,Digestive and genito-urinary systems,325412D
2834,2834511,Antispasmodic/antisecretory,325412D111
2834,2834512,Other digestive and genito-urinary preparations,325412D112
2834,283451211,"Other digestive and genito-urinary preparations, prescription",325412D1121
2834,283451212,"Other digestive and genito-urinary preparations, non-prescription",325412D1122
2834,28346,Skin preparations,325412G
2834,2834611,"Skin preparations, prescription",325412G111
2834,2834612,"Skin preparations, non-prescription",325412G112
2834,28347,"Vitamins, nutrients and hematinic preparations",325412L
2834,2834711,Multivitamins,325412L111
2834,2834721,Other vitamins and nutrients,325412L112
2834,283472111,"Other vitamins and nutrients, prescription",325412L1121
NA,283472112,"Other vitamins and nutrients, non-prescription",325412L1122
NA,2834761,Hospital solutions,NA
NA,28348,Parasitic and infective diseases,325412Q
NA,2834811,Broad and medium spectrum antibiotics,325412Q111
NA,2834867,Systemic antivirals,325412Q112
NA,2834869,Other parasitic and infective diseases,325412Q113
NA,28349,Veterinary preparations,325412T
NA,2834SM,Secondary products and miscellaneous receipts,325412SM
NA,2834M,Miscellaneous receipts,325412M
NA,2834MM,Miscellaneous receipts,NA
NA,2834S,Secondary products,325412S
NA,2834SS,Secondary products,NA
2835,2835,In vitro and in vivo diagnostics,325413
2835,2835P,Primary Products,325413P
2835,28351,In vitro diagnostic substances,3254131
2835,2835111,Reagents,3254131111
2835,2835115,Standards and controls,3254131221
2835,2835131,"Blood bank, hematology, and coagulation products",3254131399
2835,2835135,"Microbiology, serology, histology, virology, and cytology products",3254131461
2835,2835199,"Other in vitro diagnostics, including culture media",NA
2835,28352,"In vivo diagnostic substances, including contrast media and radioactive reagents",NA
2835,2835SM,Secondary products and miscellaneous receipts,325413SM
2835,2835M,Miscellaneous receipts,325413M
2835,2835MM,Miscellaneous receipts,NA
2835,2835S,Secondary products,325413S
2835,2835SS,Secondary products,NA
2836,2836,"Biological products, except diagnostics",325414
2836,2836P,Primary products,325414P
2836,28361,"Blood and blood derivatives, for human use",3254141
2836,2836115,Human blood plasma,325414115
2836,2836121,"Other blood and blood derivatives, except those used for passive immunization",325414121
2836,28362,"Vaccines, toxoids, and antigens for human use",3254142
2836,28363,Other biologics for human use,3254143
2836,2836311,"Antitoxins, antivenoms, immune globulins and similar blood derivatives",325414311
2836,2836321,"Allergenic extracts for human use, excluding diagnostic allergens",325414321
2836,28364,"Biologics for veterinary, industrial and other uses",3254144
2836,2836411,Veterinary vaccines,325414411
2836,2836415,"Bacterins, toxoids, and other antigens for active immunization",325414415
2836,2836431,Biologics for industrial and other uses,325414431
2836,2836499,"Other biologics: incl. antitoxins, immune serums, blood, and allergens, except diagnostics",325414499
2836,2836SM,Secondary products and miscellaneous receipts,325414SM
2836,2836M,Miscellaneous receipts,325414M
2836,2836S,Secondary products,325414S
2836,2834S,Pharmaceutical preparations,325412S
2836,2836SSS,Secondary products except pharmaceutical preparations,NA
2841,2841,Soaps and other detergents,325611
2841,2841P,Primary products,325611P
2841,28411,"Soaps and detergents, commercial, industrial, and institutional",3256111
2841,2841171,"Alkaline detergents, commercial, industrial, and institutional",NA
2841,2841172,"Synthetic organic detergents, commercial, industrial, and institutional",NA
2841,2841178,"All other commercial, industrial, institutional type cleaners and soaps",NA
2841,28412,Household detergents,3256114
2841,2841262,Household dry laundry detergents,NA
2841,2841273,"Household liquid detergents, light duty",NA
2841,2841274,"Household liquid detergents, heavy duty",NA
2841,2841275,Other household detergents,NA
2841,28413,"Household soaps, except specialty cleaners and medicated soaps",3256117
2841,2841SM,Secondary and miscellaneous receipts,325611SM
2841,2841M,Miscellaneous receipts,325611M
2841,2841MM,Miscellaneous receipts,NA
2841,2841S,Secondary products,325611S
2841,2841SS,Secondary products,NA
2842,2842,"Specialty cleaning, polishing, and sanitation preparations",325612
2842,2842P,Primary products,325612P
2842,28422,Household bleaches (chlorine and nonchlorine),3256122
2842,28423,Specialty cleaning and sanitation products,3256123
2842,2842332,"Disinfectants, nonagricultural",325612332
2842,2842343,"Household laundry aids, incl. fabric softeners and rinses",325612343
2842,2842383,Air and room fresheners,325612383
2842,2842399,"Other spec. cleaning prods., incl. glass window preps., toilet bowl clnrs., rug clnrs., etc",325612399
2842,28424,Polishing preparations and related products,3256124
2842,2842SM,Secondary products and miscellaneous receipts,325612SM
2842,2842M,Miscellaneous receipts,325612M
NA,2842MM,Miscellaneous receipts,NA
NA,2842S,Secondary products,325612S
NA,2842SS,Secondary products,NA
2843,2843,Surface-active agents,325613
2843,2843P,Primary products,325613P
2843,28431,Textile and leather assistants and finishes,3256131
2843,28435,Bulk surface-active agents (surfactants),3256135
2843,2843SM,Secondary products and miscellaneous receipts,325613SM
2843,2843M,Miscellaneous receipts,325613M
2843,2843S,Secondary products,325613S
2844,2844,"Perfumes, cosmetics, and other toilet preparations",325620
2844,2844P,Primary products,325620P
2844,28441,Shaving preparations,3256201
2844,28442,"Perfume, toilet water, and cologne",3256204
2844,28443,"Hair preparations (including shampoos, except medicated)",3256207
2844,28444,"Dentifrices, mouthwashes, gargles, and rinses",NA
2844,28446,"Creams, lotions, oils (ex. shaving, hair deodorant, eye, manicuring and bath)",325620D
2844,28447,"Other cosmetics and toilet preparations, nece",325620G
2844,2844SM,Secondary products and miscellaneous receipts,325620SM
2844,2844M,Miscellaneous receipts,325620M
2844,2844MM,Miscellaneous receipts,NA
2844,2844S,Secondary products,325620S
2844,2844SS,Secondary products,NA
2851,2851,Paints and allied products,325510
2851,2851P,Primary products,325510P
2851,28511,"Architectural coatings, including architectural lacquers",3255101
2851,28511A,Exterior,NA
2851,28511AA,Solvent-type,NA
2851,2851112,"Paints and tinting bases, including barn and roof paints",NA
2851,2851115,"Enamels and tinting bases, including interior-exterior floor enamels",NA
2851,2851125,Undercoaters and primers,NA
2851,2851135,Clear finishes,NA
2851,2851137,"Stains, including shingle and shake",NA
2851,2851139,"Other exterior solvent coatings, including bituminous paints",NA
2851,28511AB,Water-type,NA
2851,2851141,"Paints and tinting bases, including barn and roof paints",NA
2851,2851144,Undercoaters and primers,NA
2851,2851149,Stains,NA
2851,2851155,Other exterior water thinned coatings,NA
2851,28511B,Interior,NA
2851,28511BA,Solvent-type,NA
2851,2851163,"Flat wall paints and tinting bases, including mill white paints",NA
2851,2851169,"Semigloss, eggshell and satin paints and tinting bases",NA
2851,2851175,Clear finishes,NA
2851,285118,Water-type,NA
2851,2851181,Flat paints and tinting bases,NA
2851,2851183,"Semigloss, eggshell and satin paints and tinting bases",NA
2851,2851186,Undercoaters and primers,NA
2851,2851188,Other interior water thinned coatings,NA
2851,28512,"Product finishes for original equipment manufacturers (OEM), excluding marine coatings",3255102
2851,28512A,"Transportation finishes, except powdered and high-solids coatings",NA
2851,2851222,Automobile finishes,NA
2851,2851225,"Other transportation equipment finishes, including aircraft and railroad",NA
2851,28512B,Wood finishes,NA
2851,2851237,"Wood furniture, cabinet, and fixture finishes",NA
2851,2851239,Wood and composition board flat stock finishes,NA
2851,2851235,"Appliance, heating and air conditioner finishes",NA
2851,2851241,"Sheet, strip and coil coatings, including sidings, excluding containers",NA
2851,2851243,Container and closure finishes,NA
2851,2851247,"Machinery and equipment finishes, including road building and farm implement",NA
2851,2851249,Metal furniture and fixture finishes,NA
2851,2851254,High-solids finishes (over 62.5 percent solids),NA
2851,2851255,Powdered coatings,NA
2851,2851267,"Other product finishes, except semi-manufactured (e.g. pigment dispersions, and ink vehicles)",NA
2851,28513,"Special purpose coatings, including all marine coatings",3255103
2851,28513A,Industrial maintainance paints (specially formulated),NA
2851,2851301,Interior,NA
2851,2851305,Exterior,NA
2851,28513BA,Automotive and machinery refinish coatings,NA
2851,2851314,"Paints and enamels, except laquers",NA
2851,2851316,Primers and undercoaters,NA
2851,2851327,Lacquers,NA
2851,2851311,"Traffic marking paints, all types (shelf goods and highway department sales)",NA
NA,2851315,"Marine paints and enamels (shelf goods and specially formulated, excluding spar varnish)",NA
NA,285133,Aerosol paints,NA
NA,2851398,Other special purpose coatings,NA
NA,28515,Miscellaneous allied paint products,3255105
NA,2851523,Paint and varnish removers,NA
NA,2851531,"Thinners for dopes & lacquers & oleoresinous thinners, inc. mixtures & proprietary thinners",NA
NA,2851533,Pigment dispersions,NA
NA,2851598,"Misc. related products, inc. brush cleaners, nonpressure wood preservatives, putty, etc",NA
NA,2851SM,Secondary products and miscellaneous receipts,325510SM
NA,2851M,Miscellaneous receipts,325510M
NA,2851Z89,Resales,NA
NA,2851S,Secondary products,325510S
NA,2821S,Plastic materials and resins,325211S
NA,2851SSSSS,Other secondary products,NA
NA,2891S,Adhesives and sealants,325520S
2861,2861,Gum and wood chemicals,325191
2861,2861P,Primary products,325191P
2861,28611,Softwood distillation products,NA
2861,28612,Other gum and wood chemicals,NA
2861,286125,Hardwood distillation products,NA
2861,2861255,"Charcoal and charcoal briquets, including blends with lignite or other materials",NA
2861,286129,Tall oils,NA
2861,2861294,"Refined (contains less than 90% free fatty acid, inc. tall oil resins other than rosin)",NA
2861,2861296,Rosin,NA
2861,2861298,"Other tall oil derivatives, including rosin acid salts, except tall oil fatty acids",NA
2861,2861SM,Secondary products and miscellaneous receipts,325191SM
2861,2861M,Miscellaneous receipts,325191M
2861,2861S,Secondary products,325191S
2865,2865,Cyclic crudes and intermediates,NA
2865,2865P,Primary products,NA
2865,28651,Cyclic intermediates,3251921
2865,28652,Synthetic organic dyes,3251321
2865,28653,"Synthetic organic pigments, lakes, and toners",3251324
2865,28656,"Aromatics, not made in a refinery",3251101
2865,28657,"Tars, tar crudes, and tar pitches",NA
2865,2865M,Miscellaneous receipts,NA
2865,2865MM,Miscellaneous receipts,NA
2865,2865S,Secondary products,NA
2869,2869,"Industrial organic chemicals, nec",NA
2869,2869P,Primary products,325199P
2869,28691,"Liquid refinery gases (aliphatics), not made in a refinery",3251104
2869,28692,Ethyl alcohol,325193P
2869,28693,"Synthetic organic chemicals, nec",NA
2869,28694,Bulk pesticides and other bulk synthetic organic agricultural chemicals,3251994
2869,28696,Miscellaneous end-use chemicals and chemical products,325199T
2869,28697,Miscellaneous cyclic and acyclic chemicals and chemical products,325199U
2869,2869M,Miscellaneous receipts,NA
2869,2869MM,Miscellaneous receipts,325199MM
2869,2869S,Secondary products,325199SS
2869,2821S,"Secondary products, plastic materials and resins",325211S
2869,2869SSS,Other secondary products,NA
2873,2873,Nitrogenous fertilizers,325311
2873,2873P,Primary products,325311P
2873,28731,"Synthetic ammonia, nitric acid, and ammonium compounds",3253111
2873,28732,Urea,3253112
2873,28733,Nitrogenous fertilizer materials of organic origin,3253113
2873,2873SM,Secondary products and miscellaneous receipts,325311SM
2873,2873M,Miscellaneous receipts,325311M
2873,2873MM,Miscellaneous receipts,NA
2873,2873S,Secondary products,325311S
2873,2873SS,Secondary products,NA
2874,2874,Phosphatic fertilizers,325312
2874,2874P,Primary products,325312P
2874,28741,Phosphoric acid,3253121
2874,28742,Superphosphate and other phosphatic fertilizer materials,3253122
2874,28744,"Mixed fertilizers, made by plants which manufacture fertilizer materials",3253124
2874,2874SM,Secondary products and miscellaneous receipts,325312SM
2874,2874M,Miscellaneous receipts,325312M
2874,2874MM,Miscellaneous receipts,NA
2874,2874S,Secondary products,325312S
2874,2874SS,Secondary products,NA
2875,2875,"Fertilizers, mixing only",325314
2875,2875P,Primary products,325314P
NA,28751,"Fertilizers, mixing only",3253141
NA,2875125,"Mixed fertilizers, solid",325314125
NA,2875131,"Mixed fertilizers, liquid",325314131
NA,2875SM,Secondary products and miscellaneous receipts,325314SM
NA,2875M,Miscellaneous receipts,325314M
NA,2875MM,Miscellaneous receipts,NA
NA,2875S,Secondary products,325314S
NA,2875SS,Secondary products,NA
2879,2879,Pesticides and other agricultural chemicals,325320
2879,2879P,Primary products,325320P
2879,2879A,Agricultural and commercial insecticides and chemicals,325320A
2879,2879B,Lawn and garden pesticides and chemicals,325320B
2879,2879C,Household and institutional pesticides and chemicals,325320C
2879,2879SM,Secondary products and miscellaneous receipts,325320SM
2879,2879M,Miscellaneous receipts,325320M
2879,2879MM,Miscellaneous receipts,NA
2879,2879S,Secondary products,325320S
2879,2879SS,Secondary products,NA
2891,2891,Adhesives and sealants,325520
2891,2891P,Primary products,325520P
2891,28913,Natural base glues and adhesives,3255203
2891,28914,"Synthetic resin and rubber adhesives, including cellulose, nitrocellulose, etc",3255204
2891,289144,Vinyl type adhesives,32552044
2891,2891465,"Hot melt adhesives, including nylon, polyolefin, and other hot melts",325520465
2891,2891478,Rubber and synthetic resin combinations,325520478
2891,2891498,Other synthetic resin & rubber adhesives,325520498
2891,28916,Structural sealants (load bearing),3255206
2891,28917,Nonstructural sealants and caulks,3255207
2891,2891SM,Secondary products and miscellaneous receipts,325520SM
2891,2891M,Miscellaneous receipts,325520M
2891,2891MM,Miscellaneous receipts,NA
2891,2891S,Secondary products,325520S
2891,2891SS,Secondary products,NA
2892,2892,Explosives,325920
2892,2892P,Primary products,325920P
2892,28921,"Explosives, propellants, and blasting accessories (not manufactured in GOCOs)",3259201
2892,289211,Industrial explosives,NA
2892,2892113,"Permissibles, including permissible slurries",NA
2892,2892117,"ANFO, except slurry",NA
2892,2892118,"Water gel and slurries, except permissible slurries",NA
2892,2892121,Noncap sensitive,NA
2892,2892127,Other industrial explosives,NA
2892,2892136,Propellants,NA
2892,289215,Blasting accessories,NA
2892,2892157,"Other blasting accessories (squibs, ignitors, fuse, other blasting caps, nec.)",NA
2892,2892171,"Other explosives (military detonators, jet starters, fuse and explosive assemblies, etc.)",NA
2892,2892SM,Secondary products and miscellaneous receipts,325920SM
2892,2892M,Miscellaneous receipts,325920M
2892,2892XY9,Contract work and other miscellaneous receipts,NA
2892,2892Y66,Contract work performed by government owned company operated establishments (GOCOs),NA
2892,2892Z89,Resales,NA
2892,2892S,Secondary products,325920S
2892,2892SSS,Secondary products,NA
2893,2893,Printing ink,325910
2893,2893P,Primary products,325910P
2893,28931,Letterpress ink (black and color),3259101
2893,28932,Lithographic and offset ink (black and color),3259102
2893,2893231,News and nonheat web ink,325910231
2893,2893233,Publication and commercial web ink,325910233
2893,2893234,Sheet-fed packaging ink,325910234
2893,2893244,Sheet-fed general printing ink,325910244
2893,2893245,Other lithographic and offset ink,325910245
2893,28933,Gravure ink,3259103
2893,28934,Flexographic ink,3259104
2893,2893481,Packaging ink,325910481
2893,289348182,Solvent types,32591048182
2893,289348183,Water types,32591048183
2893,2893484,Other flexographic ink,325910484
2893,28935,"Printing ink, nec",3259105
2893,2893SM,Secondary products and miscellaneous receipts,325910SM
2893,2893M,Miscellaneous receipts,325910M
2893,2893MM,Miscellaneous receipts,NA
2893,2893S,Secondary products,325910S
NA,2893SS,Secondary products,NA
2895,2895,Carbon black,325182
2895,2895P,Primary products,325182P
2895,28951,Carbon black,3251821
2895,2895SM,Secondary products and miscellaneous receipts,325182SM
2895,2895M,Miscellaneous receipts,325182M
2895,2895S,Secondary products,325182S
2899,2899,"Chemicals and chemical preparations, nec",325998
2899,2899P,Primary products,325998P
2899,28991,"Salt, evaporated and solar",3119421
2899,28992,Fatty acids (produced for sale as such),3251991
2899,28994,"Gelatin, except ready to eat desserts",NA
2899,28995,"Chemical preparations, nec, including essential oils",NA
2899,289957,Water treating compounds,325998A
2899,289959,"Chemical preparations, nec, including essential oils and automotive chemicals",325998H
2899,2899SM,Secondary products and miscellaneous receipts,325998SM
2899,2899M,Miscellaneous receipts,NA
2899,2899MM,Miscellaneous receipts,NA
2899,2899S,Secondary products,325998S
2899,2899SS,Secondary products,NA
2911,2911,Petroleum refining,324110
2911,2911P,Primary products,324110P
2911,2911A,"Liquefied refinery gases, including other aliphatics(feed stock and other uses)",324110A
2911,2911D,"Other finished petroleum products, including waxes",324110D
2911,29111,"Gasoline, including finished base stocks and blending agents",3241101
2911,2911111,Aviation gasoline (except jet fuel) incl.finished base stocks & blending agents,324110111
2911,291113,"Motor gasoline, including finished base stocks and blending agents",32411013
2911,2911134,Regular gasoline,324110134
2911,2911135,Mid-premium gasoline,324110135
2911,2911136,Premium gasoline,324110136
2911,29112,Jet fuel,3241102
2911,29113,"Kerosene, except jet fuel",3241103
2911,29114,Light fuel oils,3241104
2911,2911411,"Home heating oil and other distillates, NEC",324110411
2911,2911413,Diesel fuel,324110413
2911,29115,"Heavy fuel oils, including No. 5, No. Aggregate Tree Code: 2911--E1N",3241105
2911,29115,"Heavy fuel oils, including No. 5, No. Aggregate Tree Code: 295 --D3N Aggregate Tree Code: 2951--C2G",3241105
2951,2951,Asphalt paving mixtures and blocks,324121
2951,2951P,Primary products,324121P
2951,2951111,"Emulsified asphalt, including liquid additives",NA
2951,2951112,"Other liquid asphalt & tar paving materials, including cut backs",NA
2951,2951113,Asphaltic (bituminous) concrete and paving cements,NA
2951,2951114,Other asphalt paving mixtures and blocks,NA
2951,2951SM,Secondary products and miscellaneous receipts,324121SM
2951,2951M,Miscellaneous receipts,324121M
2951,2951Z89,Resales,NA
2951,2951S,Secondary products,324121S
2952,2952,Asphalt felts and coatings,324122
2952,2952P,Primary products,324122P
2952,29522,"Roofing asphalts and pitches, coatings, and cements including fibrated and nonfi",3241221
2952,29523,Prepared asphalt and tar roofing and siding products including saturated felts a,3241222
2952,295231,Smooth-surface roll roofing and cap sheets including organic and fiberglass base,NA
2952,295232,Mineral-surface roll roofing and cap sheets including organic and fiberglass bas,NA
